 skb ʿṣīr al-brtqāl ʿli ḥbūbh.	skb al-ḥlīb ʿli ḥbūbh.	0
1262	ʾaūqf šāḥnẗ fī mrʾāb ṣġīr	ʾaūqf sīārẗ fī mrʾāb ṣġīr	0
1263	ʾaẖtī tqūd dǧāǧẗ llʿml.	ʾaẖtī tqūd sīārẗ llʿml.	0
1264	ʾaʿṭi al-ḥlīb ili al-māʾidẗ	ʾaʿṭi al-ḥlīb al-i al-qṭ	0
1265	ḍʿf wāḥd qd īʿānī mnh al-šẖṣ hū al-ām al-ẓhr.	ḍʿf wāḥd qd īʿānī mnh al-krsī hū al-ām al-ẓhr.	1
1266	ḏhb ili al-fndq lktābẗ amtḥānāt fṣlh.	kān īḏhb ili al-klīẗ lktābẗ amtḥānāt fṣlh.	0
1267	bʿḍ al-nās ldīhm qṭṭ kḥīwānāt mdǧnẗ.	bʿḍ al-nās ldīhm nmr kḥīwānāt mdǧnẗ.	1
1268	īmkn llḥīwānāt tṣwyr al-nās bālkāmīrāt.	īmkn llnās tṣwyr al-ḥīwānāt bālkāmīrāt.	0
1269	ālklb hū ʿmūm al-rǧāl al-mqlī	.ālklb ṣdīq al-insān al-ūfī	0
1270	ḥsāʾ al-bṭāṭs mṣnūʿ mn al-bṭāṭs.	ḥsāʾ al-bṭāṭs mṣnūʿ mn ḥbr al-ṭābʿẗ.	1
1271	ʾaẖī īʾakl al-ʾāīs krīm	ʾaẖī īʾakl al-ṯlāǧẗ	1
1272	qṭtī tḥb akl al-smk.	ʾasmākī tḥb akl al-qṭṭ.	1
1273	ḏhbt ili al-sūq bǧānb ṭāūltī.	ḏhbt ili al-sūq bālsīārẗ.	0
1274	ālqmr aḥmr al-lūn	ālšms ḥmrāʾ al-lūn	0
1275	kānwā īsāfrūn fī ṭbq ʿli al-mḥīṭ	kānwā īsāfrūn fī sfīnẗ ʿli al-mḥīṭ	0
1276	ʾakl ǧīf al-qhūẗ	šrb ǧīf al-qhūẗ	0
1277	īǧb tḥdīd al-šẖṣ , ūlkn īǧb an īʿrf mti ītrk	īǧb tḥdīd al-nml al-ʾabīḍ , ūlkn īǧb an īʿrf mti ītrk	1
1278	qām al-rǧl btdbīs bʿḍ al-mnāzl mʿًā.	qām al-rǧl btdbīs bʿḍ al-mstndāt mʿًā.	0
1279	ġsl al-mlābs fī al-sīārẗ	qām bġsl al-mlābs fī al-ġsālẗ	0
1280	kān lmlk isbānīā al-qdīm al-ʿdīd mn al-zūǧāt	kān ldi al-dūnāt al-qdīmẗ fī isbānīā al-ʿdīd mn al-zūǧāt	1
1281	ldīh ʿšrẗ aṣābʿ fī īd wāḥdẗ.	ldīh ʿšrẗ aṣābʿ fī īdīh.	0
1282	ālṭīūr tḥb al-āstḥmām fī ḥmām al-ṭīūr al-ẖāṣ bī.	ālṭīūr tḥb al-āstḥmām fī brkān.	1
1283	īmkn tšġīl al-ilktrūnīāt bālkhrbāʾ.	īmkn tšġīl al-ilktrūnīāt bālmāʾ.	1
1284	īmknnā ḥǧz al-fʾarẗ bāstẖdām mṣīdẗ al-fʾarẗ	īmknnā ḥǧz nmr bāstẖdām mṣīdẗ fʾirān	1
1285	ītm astẖdām fršāẗ al-ʾasnān ltnẓīf al-ʾasnān.	īstẖdm ǧhāz tlfzīūn ltnẓīf al-ʾasnān.	1
1286	īstẖdm al-hātf lirsāl al-mlābs.	īstẖdm al-hātf lirsāl al-rsāʾil.	0
1287	ātṣl bṣdīqh ʿli al-mṣbāḥ	ātṣl bṣdīqh ʿli al-hātf	0
1288	ktbt mqāl.	ʾaklt mqāl.	1
1289	īṭbʿ ṣūrẗ mn ṭābʿẗ	īṭbʿ ǧhāz kmbīūtr mḥmūl mn ṭābʿẗ	1
1290	ālṣẖūr ḥīwānāt wymkn an tšʿr bālʾalm	ālʾabqār ḥīwānāt wymkn an tšʿr bālʾalm	0
1291	Roadkill īǧʿl zīnẗ al-ḥzb rāʾiʿẗ	tṣnʿ al-bālūnāt zīnẗ al-ḥflāt al-rāʾiʿẗ	0
1292	ālḥālẗ: anā atnāūl al-ʿšāʾ fī al-līl	ʾanā akl al-ʿšāʾ fī al-ṣbāḥ	1
1293	ītm al-tqāṭ al-ṣūr bwāsṭẗ al-kāmīrā	ītm al-tqāṭ al-ṣūr bwāsṭẗ al-ʾālẗ al-ḥāsbẗ	1
1294	īḥb akl al-kʿk	īḥb akl al-ḥǧārẗ	1
1295	tm irsālh ili al-sǧn bthmẗ al-srqẗ	tm irsālh ili al-mṭʿm lsrqth	1
1296	ālqṭ īnbḥ ṭwāl al-īūm	ālklb īnbḥ ṭwāl al-īūm	0
1297	āḥtfẓ bṭāʾirẗ hlīkūbtr fūq al-krsī	ʾabqi al-tlfzīūn fūq al-krsī	0
1298	rmīt ǧhāz al-mšī lābnī.	rmīt al-bīsbūl lābnī.	0
1299	qām btnẓīf ʿīnīh bfršāẗ asnān	qām btnẓīf asnānh bfršāẗ asnān	0
1300	īmknnā al-ǧrī īūmīًā llbqāʾ bṣḥẗ ǧīdẗ.	īmknnā al-ṭīrān īūmīāً llbqāʾ bṣḥẗ ǧīdẗ.	1
1301	īḥb abnī an īʾakl al-nmr bʿd al-ūǧbẗ	īḥb abnī tnāūl al-šūkūlātẗ bʿd al-ūǧbẗ	0
1302	ībdū annī asqṭ qlmī	ībdū annī asqṭt fīlāʾī	1
1303	ūḍʿt al-sīārẗ fī al-ṯlāǧẗ.	ūḍʿt al-ẖḍrwāt fī al-ṯlāǧẗ.	0
1304	ītm ʿrḍ al-ʾaflām fī al-mstšfīāt	ītm ʿrḍ al-ʾaflām fī al-msārḥ	0
1305	mši al-klb fī al-smāʾ.	mši al-klb fī al-ḥdīqẗ.	0
1306	īʾakl al-nās al-ṭūb ʿli al-fṭūr	īʾakl al-nās al-ḥbūb ʿli al-fṭūr	0
1307	ʾanhā amrʾaẗ	hī tnīn	1
1308	lqd ṣnʿ fṭīrẗ tfāḥ	lqd ṣnʿ tfāḥẗ mn al-fṭāʾir	1
1309	šīʾ qd tfʿlh bʿd al-ʾakl, ttǧšʾa	šīʾ qd tfʿlh bʿd al-ʾakl tṭīr fī al-hwāʾ	1
1310	ʾaḏhb ili al-ǧāmʿẗ llḥṣūl ʿli drǧẗ al-bkālūrīūs	ʾaḏhb ili al-sǧn llḥṣūl ʿli drǧẗ al-bkālūrīūs	1
1311	inh īqṣ šʿrh bālmqṣ.	īqṭʿ šʿrh bālskīn.	1
1312	ntnāūl al-ʿšāʾ ẖlāl al-nhār.	ntnāūl al-ġdāʾ ẖlāl al-nhār.	0
1313	ārīd an akūn mhnds ṣūt	ārīd an akūn kmbīūtr	1
1314	āllbn al-mfḍl ldī hū ḥlīb al-dīk al-rūmī.	ālḥlīb al-mfḍl ldī hū ḥlīb al-bqr.	0
1315	īmkn astẖdām bndqīẗ liṭʿām al-nās	īmkn astẖdām bndqīẗ lqtl al-nās	0
1316	ālnḥl īṣnʿ ʿsl al-fīlẗ	ālnḥl īṣnʿ al-ʿsl lʾaṭfālhm	0
1317	lʿq ṭʿm al-ʾarḍ mṯl al-ʾaūsāẖ	lʿq ṭʿm al-ʾarḍ al-ḥlū	1
1318	lā īmknk al-tnfs tḥt al-māʾ bdūn mṣdr hwāʾ	lā īmknk al-tnfs tḥt al-māʾ bdūn dmīẗ	1
1319	īmkn lhātf al-mnzl iǧrāʾ mkālmāt fī aī mkān.	īmkn llhātf al-mḥmūl iǧrāʾ mkālmāt fī aī mkān.	0
1320	msḥūq al-flfl al-ḥlū ḥlū al-mḏāq	ālskr ḥlū al-mḏāq	0
1321	ʾanā anẓf asnānī bskīn	ʾanā anẓf asnānī bfršāẗ asnān	0
1322	ʿāš al-rǧl fī mnzl	ʿāš al-rǧl ʿli al-qmr	1
1323	qād mrūḥīẗ llʿml	qād sīārẗ ili al-ʿml	0
1324	tbḥr fī al-bḥīrẗ ʿli mtn qārb	tbḥr fī al-bḥīrẗ ʿli sīārẗ	1
1325	ūḍʿt hlām ʿli šʿrhā ltnẓīfh.	ūḍʿt al-šāmbū ʿli šʿrhā ltnẓīfh.	0
1326	ālqs īʿẓ bālqānūn	ālqs īʿẓ bālktāb al-mqds	0
1327	ʾaūqft sīārthā ʿli qmẗ mnǧm	ʾaūqft sīārthā ẖlf sīārtī	0
1328	ūḍʿ al-ġāz fī drāǧth.	ūḍʿ al-ġāz fī sīārth.	0
1329	šīʾ tǧdh fī al-bḥr hū al-smk	šīʾ tǧdh fī al-bḥr hū fīl	1
1330	mn al-mfīd ḥml mẓlẗ ʿndmā īkūn īūm mmṭr.	mn al-mfīd ġlq mẓlẗ ʿndmā īkūn īūm mmṭr.	1
1331	ḥzb ībṭl al-zwāǧ.	ībṭl al-fsẖ al-zwāǧ.	0
1332	hnāk al-kṯīr mn al-mbānī fī al-ġābẗ	hnāk al-kṯīr mn al-ʾašǧār fī al-ġābẗ	0
1333	lā īḥtāǧ al-nās ili šrb al-māʾ līʿīšwā.	īḥtāǧ al-nās ili al-māʾ mn aǧl al-bqāʾ.	0
1334	ttkūn al-frqẗ mn ʿdẗ mkūnāt mūsīqīẗ.	ttkūn al-frqẗ mn ʿdẗ qṭʿ mn al-ḥlwi.	1
1335	ḏhb ili al-mktb bqlm	ḏhb ili al-mktb fī drāǧẗ	0
1336	rkḍt lmsāfẗ mīl.	rkḍt lbnẗ	1
1337	āḥḍrt kīlūġrāmīn mn al-khrbāʾ ili al-mnzl mn al-sūq	ʾaḥḍrt kīlūġrāmīn mn al-tfāḥ ili al-mnzl mn al-sūq	0
1338	ālsīārāt lā tsbb aī šīʾ llbīʾiẗ.	ālsīārāt tsbb al-tlūṯ llkūkb.	0
1339	īrīd al-nās an īrwā qrddā īuʾdī fī al-sūbr būl	īrīd al-nās ruʾīẗ frqẗ tuʾdī fī al-sūbr būl	0
1340	īstẖdm lāʿbū al-bīsbūl al-ʿlkẗ al-fqāʿīẗ llqbḍ ʿli al-bīsbūl.	īstẖdm lāʿbū al-bīsbūl al-qfāzāt llqbḍ ʿli al-bīsbūl.	0
1341	ʾaẖḏ al-qārb lʿbūr al-šārʿ	ʾaẖḏ al-qārb lʿbūr al-nhr	0
1342	liǧrāʾ mḥādṯẗ , tḥtāǧ ili šẖṣīn ʿli al-ʾaql.	liǧrāʾ mḥādṯẗ , tḥtāǧ ili šẖṣ wāḥd fqṭ.	1
1343	smkẗ īmkn an tṭīr.	ṭāʾir īstṭīʿ an īṭīr.	0
1344	ʾakl al-klb al-sīārẗ dāẖl al-mnzl	tnāūl al-klb al-ṭʿām dāẖl al-mnzl	0
1345	ʾakl qṭʿẗ kbīrẗ mn al-kʿkẗ.	ʾakl qṭʿẗ kbīrẗ mn al-ūrq.	1
1346	qād mnzlh llʿml.	qād sīārth llʿml.	0
1347	āštri mšrūbbā mn al-mtǧr	āštri šrāb mn mrkz al-šrṭẗ	1
1348	ālšms bārdẗ ǧdā	ālšms šdīdẗ al-ḥrārẗ	0
1349	ḍrb al-ṣbī al-bīsbūl bālmknsẗ.	ḍrb al-ṣbī al-bīsbūl bmḍrb al-bīsbūl.	0
1350	ālskīn ḥād bmā īkfī lqṭʿ al-iṣbʿ	ālskīn ḥād bmā īkfī lqṭʿ al-ṭūb	1
1351	hnāk al-kṯīr mn al-ūrūd fī nbāt al-ūrd	hnāk al-kṯīr mn al-qṭṭ fī nbāt al-ūrd	1
1352	hī aklt al-dǧāǧ mn ḥsāʾ al-ẖḍār al-ẖāṣ bhā	hī aklt al-dǧāǧ mn ḥsāʾ al-dǧāǧ al-ẖāṣ bhā	0
1353	kl mn ḏhb ili al-ḥflẗ kān ldīh šīʾ īšrbh.	ālǧmīʿ fī al-ḥflẗ tnāūlwā mšrūbbā , lkn bʿḍhm lm īfʿlwā ḏlk.	1
1354	ālrǧāl līs ldīhm šʿr	ālmrʾaẗ ldīhā šʿr ṭwyl.	0
1355	kān īṣṭād fī al-bḥīrẗ	kān īṣṭād fī al-slm	1
1356	qām al-mrīḍ btšẖīṣ aʿrāḍ al-ṭbīb.	qām al-ṭbīb btšẖīṣ aʿrāḍ al-mrīḍ.	0
1357	iḏā knt trīd an tšrb , īǧb an tsthlk al-ṭʿām.	iḏā knt trīd an tšrb , īǧb an tsthlk al-kḥūl.	0
1358	ʾaḥb mšāhdẗ al-ṭīūr bġsālāt.	ʾaḥb mšāhdẗ al-ṭīūr bmnẓār.	0
1359	tḏūb al-ʾāīs krīm fī al-šms.	tḏūb al-ṣẖūr fī al-šms.	1
1360	mfātīḥī mṣnūʿẗ mn al-fḍẗ	mfātīḥī mṣnūʿẗ mn al-ṯlǧ	1
1361	īẖrǧ al-māʾ mn mrʾāẗ al-ḥmām	īẖrǧ al-māʾ mn ṣnbūr al-ḥmām	0
1362	kān īntẓr lruʾīẗ al-ṭbīb	ʾamr al-šẖṣ al-ṭbīb	1
1363	ālmrīḍ: al-šẖṣ al-muʾhl lʿlāǧ al-mrḍi.	dktūr , šẖṣ muʾhl lʿlāǧ al-mrḍi.	0
1364	ālšẖṣ al-ḏī īdrs fī ǧāmʿẗ aū mkān aẖr īsmi al-ṭālb	ālšẖṣ al-ḏī īdrs fī ǧāmʿẗ aū mkān aẖr īsmi al-mʿlm	1
1365	āštri tī rīks lfṣl mdrsī	āštri klbbā ili fṣl drāsī	0
1366	ʾaklt al-sbūrẗ ʿli al-ġdāʾ.	ʾaklt al-slṭẗ ltnāūl ṭʿām al-ġdāʾ.	0
1367	ūḍʿ kmāšẗ fī al-ǧwākāmūlī.	ūḍʿ al-ǧīr fī al-ǧwākāmūlī.	0
1368	īǧb ʿli al-mrʾaẗ an trḍʿ ṭflhā qbl al-ḏhāb ili al-ʿml.	īǧb ʿli al-mrʾaẗ an trḍʿ tīdī lhā qbl al-ḏhāb ili al-ʿml.	1
1369	ālmṭʿm hū al-mkān al-ḏī īʾatī fīh al-nās lṭhī al-ṭʿām	ālmṭʿm hū al-mkān al-ḏī īʾatī fīh al-nās ltnāūl al-ṭʿām	0
1370	ḥṣān īʿīš fī mzrʿẗ.	ḥṣān īʿīš ʿli al-qmr.	1
1371	ġslt qmīṣhā fī bālūʿẗ.	ġslt qmīṣhā fī kštbān.	1
1372	šīʾ wāḥd nqūm bh bʿd al-āstḥmām hū msḥ ǧsmnā	šīʾ wāḥd nqūm bh bʿd al-āstḥmām hū al-tdḥrǧ fī al-ūḥl	1
1373	lqd ūqʿt fī ḥb aqlām al-rṣāṣ al-mlūnẗ	lqd ūqʿt fī ḥb zūǧī	0
1374	ṭārd fʾar al-qṭẗ ūqtlhā	ṭārdt qṭẗ al-fʾirān ūqtlhm	0
1375	tm irsālh ili mṭʿm llʿlāǧ bʿd iṣābth bālmrḍ	tm irsālh ili al-mstšfi llʿlāǧ bʿd iṣābth bālmrḍ	0
1376	tm bnāʾ al-šqq lʿdd kbīr mn al-ʾasrẗ llʿīš.	tm bnāʾ al-šqq lʿāʾilẗ wāḥdẗ llʿīš.	1
1377	īʿtbr al-bšr mn al-ṯdyiāt.	tʿtbr al-tmāsīḥ mn al-ṯdyiāt.	1
1378	qd tʿtbr ġīr mḥẓūẓ iḏā fzt bǧāʾizẗ.	qd tʿtbr mḥẓūẓًā iḏā fzt bǧāʾizẗ.	0
1379	šīʾ stǧdh fī ġrfẗ al-nūm hū sīārẗ	šīʾ stǧdh fī ġrfẗ al-nūm hū srīr	0
1380	tkrh ʿndmā tnbḥ al-ʾabqār	tkrh ʿndmā tnbḥ al-klāb	0
1381	ālʾabwāb tḥmīnā mn al-mtsllīn	ālʾabwāb hī al-āntqāl mn mkān ili mkān aẖr	1
1382	āstẖdm ṣndūq al-mbārāẗ liḍāʾẗ al-šmʿẗ	āstẖdm ṣndūq al-mbārāẗ liḍāʾẗ al-qlm	1
1383	ālʿālm wāsʿ ǧdā	ālʿālm ṣġīr ǧdāً.	1
1384	ūḍʿ al-rsālẗ fī ṣndūq al-brīd	ūḍʿ al-ṭfl fī ṣndūq al-brīd	1
1385	wynẓr al-i al-ġīūm fī al-smāʾ	turi al-ġīūm fī al-ʾarḍ	1
1386	inhā tzrʿ al-ūrūd fī ḥdīqthā.	tzrʿ al-mrūḥīāt fī ḥdīqthā.	1
1387	āstẖdmt sīārthā ltrk al-sīārẗ	āstẖdmt klbhā ltrk al-sīārẗ	1
1388	īrtdī mʾizr llṭhī.	īrtdī qrd al-bābūn līṭbẖ.	1
1389	ṭhī ǧūn al-ṭʿām llʾakl	ṭhī ǧūn al-ṭʿām llnūm	1
1390	īmkn astẖdām al-sāʿẗ lmʿrfẗ al-ūqt.	īmkn astẖdām al-bṭāṭs lmʿrfẗ al-ūqt.	1
1391	īmkn llklāb tnāūl al-kṯīr mn al-šūkūlātẗ.	ālklāb lā tstṭīʿ akl al-šūkūlātẗ.	0
1392	īmknk tsẖīn al-dīk al-rūmī fī al-frīzr	īmknk tsẖīn al-dīk al-rūmī fī al-frn	0
1393	īstẖdm al-ṭbāẖ al-ẖḍār lṭhī al-ʿšāʾ.	īstẖdm al-ʾasd al-ẖḍār lṭhī al-ʿšāʾ.	1
1394	qād ḥmārh llʿml.	qād sīārth llʿml.	0
1395	ʾakl al-šāmbū ʿli al-ʿšāʾ	ʾakl al-smk ʿli al-ʿšāʾ	0
1396	ʾaẖḏh al-klb fī nzhẗ	ʾaẖḏ al-klb fī nzhẗ	0
1397	ʾaḥb al-ḏhāb ili ṣālūn al-ʾaẓāfr lṭlāʾ aẓāfrī	ʾaḥb al-ḏhāb ili ṣālūn al-ʾaẓāfr lṭlāʾ šʿrī	1
1398	ūḍʿ ṯlāǧẗ fī al-mḥfẓẗ	ūḍʿ al-māl fī al-mḥfẓẗ	0
1399	ʾanā aẖḏ al-sīārẗ llmšī	ʾanā aẖḏ al-klb llmšī	0
1400	trtdī mʿṭfhā ʿndmā īkūn al-ǧū bārddā	trtdī mlābs al-sbāḥẗ ʿndmā īkūn al-ǧū bārddā	1
1401	ḏhb ili ṣālūn lqṣ al-šʿr	ḏhb ili mṭʿm lqṣ al-šʿr	1
1402	kānt līz ǧāʾiʿẗ lḏā ṣnʿt šṭīrẗ ūtfāḥẗ.	līz ǧāʾiʿẗ ǧdā fʾaklt fīl kāml	1
1403	lqd tnāūlt al-lḥm al-ʾaḥmr al-mšwy wālflfl ʿli al-ʿšāʾ īūm ams.	lqd aklt al-ḥǧr al-ʾaḥmr al-mšwy wālflfl ʿli al-ʿšāʾ ams.	1
1404	ʾarīdk an tṭbʿ nsẖًā ūrqīẗ mn al-mstnd bāstẖdām ṭābʿẗ al-rʾīs.	ʾarīdk an tṭbʿ nsẖًā ūrqīẗ mn al-mstnd bāstẖdām al-kmbīūtr al-lūḥī al-ẖāṣ bālrʾīs.	1
1405	īstẖdm al-nās al-kuʾūs llḥfāẓ ʿli al-ǧfāf ʿndmā tmṭr	īstẖdm al-nās mẓlẗ llḥfāẓ ʿli ǧfāf ʿndmā tmṭr	0
1406	ʿndmā tḏhb ʿkssā ili al-šrq , stḏhb ili al-šmāl	ʿndmā tḏhb mqābl al-šrq ant ḏāhb ili al-ġrb	0
1407	ālhwātf al-mḥmūlẗ ʿdīmẗ al-fāʾidẗ	īmkn an tkūn al-hwātf al-mḥmūlẗ mfīdẗ llġāīẗ.	0
1408	qd tǧd al-ʾalmās fī al-qāʾimẗ fī mṭʿm.	šīʾ qd tǧdh fī qāʾimẗ al-ṭʿām fī mṭʿm hū šrīḥẗ lḥm.	0
1409	ālmʿbd wālknīsẗ wālmsǧd hī al-ʾamākn al-tī īṣlī fīhā al-nās	ālmʿbd wālknīsẗ wālmsǧd hī al-ʾamākn al-tī īnām fīhā al-nās	1
1410	ālmrʾaẗ ǧmīlẗ mṯl al-slāmī	ālmrʾaẗ ǧmīlẗ ǧdā	0
1411	īqūdūn al-sīārẗ ili šīkāġū	īqūdūn al-sīārẗ tḥlq fūq šīkāġū	1
1412	sītm al-qbḍ ʿli al-ʿdīd mn al-ʾabrīāʾ qrībā	sītm al-qbḍ ʿli al-ʿdīd mn al-mǧrmīn qrībā	0
1413	dẖl ǧīf ili al-mtǧr	qād ǧīf ili al-mtǧr	1
1414	ālṭāʾirẗ hī sīārẗ tstẖdm llsfr fī al-hwāʾ	ālṭāʾirẗ hī sīārẗ tstẖdm llsfr ʿli al-ṭrīq	1
1415	ʾaẖbrt zūǧhā anhā kānt ttsūq lknhā lm tštr aī šīʾ.	ʾaẖbrt zūǧhā anhā aštrt šīʾiًā lknhā lm ttsūq.	1
1416	īmknk al-mšī mṯl rǧl ʿǧūz	īmknk al-mšī mṯl smkẗ	1
1417	ttrīs hū mnzl	ttrīs hī lʿbẗ fīdīū	0
1418	bʿḍ al-ḥīwānāt sāmẗ llbšr.	kl ḥīwān amn llms wālʾakl.	1
1419	īmkn llnās tnāūl al-ṭmāṭm ʿli al-fṭūr	īmkn llnās tnāūl al-mʿdn ʿli al-fṭūr	1
1420	qfz al-rǧl fūq al-mbni	qfz al-rǧl fūq al-krsī	0
1421	tri al-tmsāḥ fī al-smāʾ	tri ṭāʾirrā fī al-smāʾ	0
1422	ʾanǧbt zūǧth mlʿqẗ	ʾanǧbt zūǧth ṭflẗ	0
1423	ḏhbt ili mrkz ẖdmẗ al-kmbīūtr liṣlāḥ mšklẗ fī ǧhāz al-kmbīūtr al-ẖāṣ bī	ḏhbt ili mḥl bqālẗ liṣlāḥ mšklẗ fī ǧhāz al-kmbīūtr al-ẖāṣ bī	1
1424	ūḍʿ al-ẖrdl ʿli al-ʾāīs krīm.	ūḍʿ šrāb al-šūkūlātẗ ʿli al-ʾāīs krīm.	0
1425	ālrǧl ldīh mḥādṯẗ mʿ al-ǧdār	ʾaǧri al-rǧl mḥādṯẗ mʿ ṣdīq	0
1426	tʿīš al-ʾasūd fī igloos fī al-qārẗ al-qṭbīẗ al-ǧnūbīẗ.	tʿīš al-ʾasūd fī afrīqīā.	0
1427	mn al-mrǧḥ an tūǧd al-zhūr fī al-ḥdīqẗ.	mn al-mrǧḥ an tūǧd al-zhūr fī al-smāʾ.	1
1428	īṣṭād al-tūnẗ fī al-sūbr mārkt	īṣṭād al-tūnẗ fī al-bḥr	0
1429	ʾaẖḏ al-māl mn mḥfẓth	ʾaẖḏ al-māl mn al-mftāḥ	1
1430	ʾaʿṭānī wāldī ūrqẗ lšrāʾ lʿbẗ ǧdīdẗ.	ʾaʿṭānī wāldī al-māl lšrāʾ lʿbẗ ǧdīdẗ.	0
1431	ʾalqi ḥūttā ʿli al-mnzl	ʾalqi bīsbūl fūq al-mnzl	0
1432	inh qṭṭ ġīr insānīẗ.	inhā qṭṭ tnqḍ al-ʾaṭfāl bṭrīqẗ ġīr insānīẗ.	1
1433	āštri slslẗ drāǧẗ lʿnq zūǧth	āštri ʿqdā lʿnq zūǧth	0
1434	ʾant bḥāǧẗ llāstḥmām lʾank smīn	ʾant bḥāǧẗ llāstḥmām lʾank tbdīn akṯr qḏārẗ	0
1435	tġḏī al-bḏūr llṭīūr.	tġḏī al-ʿmlāt al-mʿdnīẗ llṭīūr.	1
1436	ʾabī īrkb qārbbā fī al-bḥīrẗ lṣīd al-ʾasmāk.	ʾabī īrkb qārbbā fī al-ṭrīq lṣīd al-ʾasmāk.	1
1437	ẖrǧt al-i al-mnzl ūẖrǧt mrẗ aẖri ʿli al-fūr.	ʿdt ili al-mnzl ūẖrǧt mrẗ aẖri ʿli al-fūr.	0
1438	kān ʿli al-ṣbī šrāʾ al-ṭʿām lfīlh al-ʾalīf.	kān ʿli al-ṣbī šrāʾ al-ṭʿām lklbh al-ʾalīf.	0
1439	mʿ ǧhāz al-tḥkm ʿn bʿd qāmt btġyir al-qnāẗ al-tlfzīūnīẗ fī ġrfẗ al-mʿīšẗ	mʿ ǧhāz al-tḥkm ʿn bʿd ġīrt al-nās fī ġrfẗ al-mʿīšẗ	1
1440	tḥtwy bʿḍ al-ḥdāʾiq ʿli al-dīnāṣūrāt	tḥtwy bʿḍ al-ḥdāʾiq ʿli zhūr	0
1441	āstʾaǧrt ktābā ǧdīdā mn al-mktbẗ	āstʾaǧrt sīārẗ ǧdīdẗ mn al-mktbẗ	1
1442	lqd aštrīt lī sīārẗ	ʾaklt sīārẗ	1
1443	ldi ẖūsīh al-ʿdīd mn al-ʾaṣdqāʾ lʾanh ṭwyl	ldi ẖūsīh al-ʿdīd mn al-ʾaṣdqāʾ lʾanh aǧtmāʿī	0
1444	lʿbt krẗ al-qdm bāstẖdām al-flīn al-mkūkī	krẗ al-qdm hī lʿbẗ ītm lʿbhā bāstẖdām al-krẗ	0
1445	īmkn llḥārs an īlbs al-ǧrḥ	mmrḍẗ īmkn an tḍmīd al-ǧrḥ	0
1446	īḥb al-ʾaṭfāl al-lʿb mʿ al-brq fī al-mṭr.	īḥb al-ʾaṭfāl al-lʿb fī al-brk tḥt al-mṭr.	0
1447	ālrkḍ amr ṣḥī	tnāūl al-ūǧbāt al-srīʿẗ amr ṣḥī	1
1448	ītm astẖdām al-ḥmām ltnẓīf ǧsdh.	āldš ltnẓīf al-hwāʾ fī al-ẖārǧ.	1
1449	rd mārk ʿli mūzh.	rd mārk ʿli hātfh.	0
1450	ālqhūẗ mnbh mūǧūd fī al-kāfyin.	ālkāfyin mnbh mūǧūd fī al-qhūẗ.	0
1451	ẖrǧwā ltnāūl al-ifṭār ūšrbwā al-kābtšīnū.	ẖrǧwā ltnāūl al-ifṭār ūšrbwā al-ʾaḥḏīẗ.	1
1452	ālnār ẖṭīrẗ.	ālnār ġīr ḍārẗ.	1
1453	ḏhbt ili al-mdrsẗ lldrāsẗ	ḏhb ili al-mdrsẗ lmšāhdẗ al-ʾaflām	1
1454	īmkn llmāʿz ūḍʿ al-bīḍ	īmkn lldǧāǧ ūḍʿ al-bīḍ	0
1455	hū akl tfāḥẗ	hū akl tfāḥẗ	1
1456	dǧāǧẗ ūḍʿt bīḍẗ	ūḍʿ al-qṭ bīḍẗ	1
1457	lbst al-ḥḏāʾ ʿli qdmhā	lbst al-ḥḏāʾ ʿli īdhā	1
1458	iḏā knt trġb fī irwāʾ ʿṭšk , īǧb ʿlīk šrb al-mšrūbāt al-kḥūlīẗ.	iḏā knt trġb fī irwāʾ ʿṭšk , īǧb ʿlīk šrb al-mšrūbāt ġīr al-kḥūlīẗ.	0
1459	ʾamr al-dǧāǧ an īʾakl	ʾamr al-ǧlūd ltnāūl al-ṭʿām	1
1460	rkb al-klb drāǧẗ llʿml	rkb al-rǧl drāǧẗ llʿml	0
1461	šāhd al-rǧl al-tlfzīūn	šāhdh al-tlfzīūn	1
1462	tstẖdm al-sīārāt al-ūqūd llʿml	tṣnʿ al-sīārāt mn al-ūqūd	1
1463	ūsṭ al-ʿnb lh aūrāq.	īūǧd fī ūsṭ al-ʿnb bʿḍ bḏūr al-ʿnb.	0
1464	ḏhb ili al-msrḥ bmlābs al-sbāḥẗ	ḏhb ili brkẗ al-sbāḥẗ bmlābs al-sbāḥẗ	0
1465	īšrb al-šāī al-ʾasūd kl ṣbāḥ.	īšrb ṣbġ al-šʿr kl ṣbāḥ.	1
1466	īqūm amnāʾ al-ḥfẓ btnẓīf al-mbānī līlāً	īqūm amnāʾ al-ḥrāsẗ btṣmīm al-mbānī līlāً	1
1467	bʿḍ al-nās īstḥmūn fī ẖzānẗ	bʿḍ al-nās īstḥmūn fī al-ḥmām	0
1468	īmknk al-ktābẗ bdūn qlm	īmknk al-ktābẗ bqlm	0
1469	ālmftāḥ hū qfl al-mnzl	ālskīn hū qfl al-mnzl	1
1470	ṭār al-klb fūq al-sīārẗ	ṭār al-ṣqr fūq al-sīārẗ	0
1471	lġsl al-ʾaṭbāq , ḍʿhā fī ġsālẗ al-ṣḥūn.	lġsl al-ʾaṭbāq , ḍʿhā fī al-frn.	1
